project_name,experiment_name,id,dir,link,criterion,dataset,start_time,min_loss,accuracy,comments
cifar100_base_resnet_10_runs,baseline,soreembk,/home/dsi/buznahy/moe_project/wandb/run-20241203_185528-soreembk/files,https://wandb.ai/yanirbuznah/cifar100_base_resnet_10_runs/runs/soreembk,CrossEntropyLoss ,cifar100,2024-12-03 18:55:28.964386,1.3361367225646972,0.6905,
cifar100_base_resnet_10_runs,baseline,ihss27wu,/home/dsi/buznahy/moe_project/wandb/run-20241203_185535-ihss27wu/files,https://wandb.ai/yanirbuznah/cifar100_base_resnet_10_runs/runs/ihss27wu,CrossEntropyLoss ,cifar100,2024-12-03 18:55:35.095617,1.308608591556549,0.6939,
cifar100_base_resnet_10_runs,baseline,pzj184cp,/home/dsi/buznahy/moe_project/wandb/run-20241203_185533-pzj184cp/files,https://wandb.ai/yanirbuznah/cifar100_base_resnet_10_runs/runs/pzj184cp,CrossEntropyLoss ,cifar100,2024-12-03 18:55:33.868481,1.3312735915184022,0.6962,
cifar100_base_resnet_10_runs,baseline,cg4a0bfg,/home/dsi/buznahy/moe_project/wandb/run-20241203_185536-cg4a0bfg/files,https://wandb.ai/yanirbuznah/cifar100_base_resnet_10_runs/runs/cg4a0bfg,CrossEntropyLoss ,cifar100,2024-12-03 18:55:36.131665,1.3088351130485534,0.6953,
cifar100_base_resnet_10_runs,baseline,40ysebde,/home/dsi/buznahy/moe_project/wandb/run-20241203_185536-40ysebde/files,https://wandb.ai/yanirbuznah/cifar100_base_resnet_10_runs/runs/40ysebde,CrossEntropyLoss ,cifar100,2024-12-03 18:55:36.940476,1.3541528105735778,0.7005,
cifar100_base_resnet_10_runs,baseline,icz2olpa,/home/dsi/buznahy/moe_project/wandb/run-20241204_000308-icz2olpa/files,https://wandb.ai/yanirbuznah/cifar100_base_resnet_10_runs/runs/icz2olpa,CrossEntropyLoss ,cifar100,2024-12-04 00:03:08.470046,1.3123553156852723,0.6939,
cifar100_base_resnet_10_runs,baseline,uy8adzzf,/home/dsi/buznahy/moe_project/wandb/run-20241204_000312-uy8adzzf/files,https://wandb.ai/yanirbuznah/cifar100_base_resnet_10_runs/runs/uy8adzzf,CrossEntropyLoss ,cifar100,2024-12-04 00:03:12.231674,1.2823022961616517,0.6963,
cifar100_base_resnet_10_runs,baseline,b7v2cx2l,/home/dsi/buznahy/moe_project/wandb/run-20241204_000309-b7v2cx2l/files,https://wandb.ai/yanirbuznah/cifar100_base_resnet_10_runs/runs/b7v2cx2l,CrossEntropyLoss ,cifar100,2024-12-04 00:03:09.318737,1.2877514243125916,0.7,
cifar100_base_resnet_10_runs,baseline,zavbaj3n,/home/dsi/buznahy/moe_project/wandb/run-20241204_000311-zavbaj3n/files,https://wandb.ai/yanirbuznah/cifar100_base_resnet_10_runs/runs/zavbaj3n,CrossEntropyLoss ,cifar100,2024-12-04 00:03:11.106899,1.276847732067108,0.6967,
cifar100_base_resnet_10_runs,baseline,9a5bfntv,/home/dsi/buznahy/moe_project/wandb/run-20241204_000315-9a5bfntv/files,https://wandb.ai/yanirbuznah/cifar100_base_resnet_10_runs/runs/9a5bfntv,CrossEntropyLoss ,cifar100,2024-12-04 00:03:15.442824,1.2879915237426758,0.6975,
